Contraction,Meaning
'aight,alright
ain't,is not
amn't,am not
aren't,are not
can't,cannot
'cause,because
could've,could have
couldn't,could not
couldn't've,could not have
daren't,dare not
daresn't,dare not
dasn't,dare not
didn't,did not
doesn't,does not
don't,do not
dunno,do not know
d'ye,do you
e'er,ever
everybody's,everybody is
everyone's,everyone is
finna,fixing
g'day,good day
gimme,give me
giv'n,given
gonna,going to
gon't,go not
gotta,got to
hadn't,had not
had've,had have
hasn't,has not
haven't,have not
he'd,he had
he'll,he will
he's,he is
he've,he have
how'd,how did
howdy,how do you do
how'll,how will
how're,how are
how's,how is
"I'd	I",had
I'd've,I would have
I'll,I will
I'm,I am
I'm'a,I am about to
I'm'o,I am going to
innit,is it not
I've,I have
isn't,is not
it'd,it would
it'll,it will
it's,it is
iunno,I do not know
let's,let us
ma'am,madam
mayn't,may not
may've,may have
methinks,me thinks
mightn't,might not
might've,might have
mustn't,must not
mustn't've,must not have
must've,must have
needn't,need not
ne'er,never
o'clock,of the clock
o'er,over
ol',old
oughtn't,ought not
's,is
shalln't,shall not
shan't,shall not
she'd,she had
she'll,she shall
she's,she has
should've,should have
shouldn't,should not
shouldn't've,should not have
somebody's,somebody is
someone's,someone is
something's,something is
so're,so are
that'll,that will
that're,that are
that's,that is
that'd,that would
there'd,there would
there'll,there will
there're,there are
there's,there is
these're,these are
these've,these have
they'd,they would
they'll,they will
they're,they are
they've,they have
this's,this is
those're,those are
those've,those have
'tis,it is
to've,to have
'twas,it was
wanna,want to
wasn't,was not
we'd,we would
we'd've,we would have
we'll,we will
we're,we are
we've,we have
weren't,were not
what'd,what did
what'll,what will
what're,what are
what's,what is
what've,what have
when's,when is
where'd,where did
where'll,where will
where're,where are
where's,where is
where've,where have
which'd,which would
which'll,which will
which're,which are
which's,which is
which've,which have
who'd,who would
who'd've,who would have
who'll,who will
who're,who are
who's,who is
who've,who have
why'd,why did
why're,why are
why's,why is
willn't,will not 
won't,will not
wonnot,will not 
would've,would have
wouldn't,would not
wouldn't've,would not have
y'all,you all 
y'all'd've,you all would have 
y'all're,you all are 
you'd,you would
you'll,you will
you're,you are
you've,you have
$,dollar
Ã›,euro
4ao,for adults only
a.m,before midday
a3,anytime anywhere anyplace
aamof,as a matter of fact
acct,account
adih,another day in hell
afaic,as far as i am concerned
afaict,as far as i can tell
afaik,as far as i know
afair,as far as i remember
afk,away from keyboard
app,application
approx,approximately
apps,applications
asap,as soon as possible
asl,age sex location
atk,at the keyboard
ave.,avenue
aymm,are you my mother
ayor,at your own risk
b&b,bed and breakfast
b+b,bed and breakfast
b.c,before christ
b2b,business to business
b2c,business to customer
b4,before
b4n,bye for now
b@u,back at you
bae,before anyone else
bak,back at keyboard
bbbg,bye bye be good
bbc,british broadcasting corporation
bbias,be back in a second
bbl,be back later
bbs,be back soon
be4,before
bfn,bye for now
blvd,boulevard
bout,about
brb,be right back
bros,brothers
brt,be right there
bsaaw,big smile and a wink
btw,by the way
bwl,bursting with laughter
c/o,care of
cet,central european time
cf,compare
cia,central intelligence agency
csl,can not stop laughing
cu,see you
cul8r,see you later
cv,curriculum vitae
cwot,complete waste of time
cya,see you
cyt,see you tomorrow
dae,does anyone else
dbmib,do not bother me i am busy
diy,do it yourself
dm,direct message
dwh,during work hours
e123,easy as one two three
eet,eastern european time
eg,example
embm,early morning business meeting
encl,enclosed
encl.,enclosed
etc,and so on
faq,frequently asked questions
fawc,for anyone who cares
fb,facebook
fc,fingers crossed
fig,figure
fimh,forever in my heart
ft.,feet
ft,featuring
ftl,for the loss
ftw,for the win
fwiw,for what it is worth
fyi,for your information
g9,genius
gahoy,get a hold of yourself
gal,get a life
gcse,general certificate of secondary education
gfn,gone for now
gg,good game
gl,good luck
glhf,good luck have fun
gmt,greenwich mean time
gmta,great minds think alike
gn,good night
g.o.a.t,greatest of all time
goat,greatest of all time
goi,get over it
gps,global positioning system
gr8,great
gratz,congratulations
gyal,girl
h&c,hot and cold
hp,horsepower
hr,hour
hrh,his royal highness
ht,height
ibrb,i will be right back
ic,i see
icq,i seek you
icymi,in case you missed it
idc,i do not care
idgadf,i do not give a damn fuck
idgaf,i do not give a fuck
idk,i do not know
ie,that is
i.e,that is
ifyp,i feel your pain
IG,instagram
iirc,if i remember correctly
ilu,i love you
ily,i love you
imho,in my humble opinion
imo,in my opinion
imu,i miss you
iow,in other words
irl,in real life
j4f,just for fun
jic,just in case
jk,just kidding
jsyk,just so you know
l8r,later
lb,pound
lbs,pounds
ldr,long distance relationship
lmao,laugh my ass off
lmfao,laugh my fucking ass off
lol,laughing out loud
ltd,limited
ltns,long time no see
m8,mate
mf,motherfucker
mfs,motherfuckers
mfw,my face when
mofo,motherfucker
mph,miles per hour
mr,mister
mrw,my reaction when
ms,miss
mte,my thoughts exactly
nagi,not a good idea
nbc,national broadcasting company
nbd,not big deal
nfs,not for sale
ngl,not going to lie
nhs,national health service
nrn,no reply necessary
nsfl,not safe for life
nsfw,not safe for work
nth,nice to have
nvr,never
nyc,new york city
oc,original content
og,original
ohp,overhead projector
oic,oh i see
omdb,over my dead body
omg,oh my god
omw,on my way
p.a,per annum
p.m,after midday
pm,prime minister
poc,people of color
pov,point of view
pp,pages
ppl,people
prw,parents are watching
ps,postscript
pt,point
ptb,please text back
pto,please turn over
qpsa,what happens #que pasa
ratchet,rude
rbtl,read between the lines
rlrt,real life retweet
rofl,rolling on the floor laughing
roflol,rolling on the floor laughing out loud
rotflmao,rolling on the floor laughing my ass off
rt,retweet
ruok,are you ok
sfw,safe for work
sk8,skate
smh,shake my head
sq,square
srsly,seriously
ssdd,same stuff different day
tbh,to be honest
tbs,tablespooful
tbsp,tablespooful
tfw,that feeling when
thks,thank you
tho,though
thx,thank you
tia,thanks in advance
til,today i learned
tl;dr,too long i did not read
tldr,too long i did not read
tmb,tweet me back
tntl,trying not to laugh
ttyl,talk to you later
u,you
u2,you too
u4e,yours for ever
utc,coordinated universal time
w/,with
w/o,without
w8,wait
wassup,what is up
wb,welcome back
wtf,what the fuck
wtg,way to go
wtpa,where the party at
wuf,where are you from
wuzup,what is up
wywh,wish you were here
yd,yard
ygtr,you got that right
ynk,you never know
zzz,sleeping bored and tired